09-12 19:19:44.657   53083-53417   C02D10/com.wss...RemoteService  com.wss.m...lication  I     GetHiViewRemoteService: refresh remote service instance.
09-12 19:19:44.667   53083-53417   C01201/com.wss....EventHandler  com.wss.m...lication  I     [(EventHandler:66)]log suppressed cnt 14
09-12 19:19:44.667   53083-53417   C01201/com.wss....EventHandler  com.wss.m...lication  I     Create eventHandler 16_47644982186472
09-12 19:19:44.668   53083-53083   C03F00/com.wss...n/ArkCompiler  com.wss.m...lication  I     [gc] IdleGCTrigger: trigger full gc
09-12 19:19:46.386   53083-53153   C02805/com.wss....InputKeyFlow  com.wss.m...lication  I     [][OnPointerEvent:216] ac: down: 109274
09-12 19:19:46.386   53083-53153   C02805/com.wss....InputKeyFlow  com.wss.m...lication  I     [P:D:109274][OnPointerEvent:544] id:109274 recv
09-12 19:19:46.386   53083-53153   C04213/com.wss....InputKeyFlow  com.wss.m...lication  I     [] OnInputEvent(86): eid:20,InputId:109274,wid:767,ac:2
09-12 19:19:46.389   53083-53153   C03919/com.wss...InputTracking  com.wss.m...lication  I     [(-1:100000:singleton)] pointdown windowId: 767
09-12 19:19:46.390   53083-53153   C04213/com.wss....InputKeyFlow  com.wss.m...lication  I     [] ConsumePointerEventInner(876): InputId:109274,wid:767,pointId:0,srcType:2,rect:[0,0,1840,2800],notify:1
09-12 19:19:46.390   53083-53083   C03951/com.wss....InputKeyFlow  com.wss.m...lication  I     [(100000:100000:scope)] InputTracking id:109274, fingerId:0, type=0, inject=0, isPrivacyMode=0
09-12 19:19:46.390   53083-53153   C02805/com.wss....InputKeyFlow  com.wss.m...lication  I     [][OnPointerEvent:216] ac: move: 109275
09-12 19:19:46.390   53083-53153   C02805/com.wss....InputKeyFlow  com.wss.m...lication  I     [P:M:109275][OnPointerEvent:228] Last eventId:109081, current eventId:109275
09-12 19:19:46.390   53083-53083   C03951/com.wss....InputKeyFlow  com.wss.m...lication  I     [(100000:100000:scope)] InputTracking id:109274, touch test hitted node info: fingerId: 0{ tag: page, depth: 6 };{ tag: Stack, depth: 9 };
09-12 19:19:46.390   53083-53083   C03951/com.wss....InputKeyFlow  com.wss.m...lication  I     [(100000:100000:scope)] InputTracking id:109274, touch test hitted recognizer type info: recognizer type ClickRecognizer node info: { tag: Stack };recognizer type PanRecognizer node info: { tag: Stack };
09-12 19:19:46.390   53083-53083   C03951/com.wss....InputKeyFlow  com.wss.m...lication  I     [(100000:100000:scope)] Id:109274, exclusive 0 type: 0
09-12 19:19:46.390   53083-53083   C03951/com.wss....InputKeyFlow  com.wss.m...lication  I     [(100000:100000:scope)] Id:109274, click 0 down, ETF: 0, CTP: 0, state: 0
09-12 19:19:46.391   53083-53083   C03951/com.wss....InputKeyFlow  com.wss.m...lication  I     [(100000:100000:scope)] Id:109274, pan 0 down, state: 0
09-12 19:19:46.391   53083-53083   C02805/com.wss....InputKeyFlow  com.wss.m...lication  I     [B:UK:109274][SetLastProcessedEventId:54] Last eventId:109079, current eventId:109274
09-12 19:19:46.391   53083-53083   C03919/com.wss...InputTracking  com.wss.m...lication  I     [(100000:100000:scope)] Consumed new event id=109274 in ace_container, lastEventInfo: id:109128
09-12 19:19:46.393   53083-53675   C02805/com.wss....InputKeyFlow  com.wss.m...lication  I     [][MarkProcessed:71] Ffrt PE: 109081 109274
09-12 19:19:46.404   53083-53083   C03951/com.wss....InputKeyFlow  com.wss.m...lication  I     [(100000:100000:scope)] Pan accepted, tag = Stack
09-12 19:19:46.404   53083-53083   C01406/com.wss...tion/OHOS::RS  com.wss.m...lication  E     FlushImplicitTransaction return, [renderServiceClient_:1, transactionData empty:1]
